+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                          ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; seg_show|sel_seg_code_dut|seg_encode_dut                                                                                                                                       ; 12    ; 1              ; 6            ; 1              ; 8      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; seg_show|sel_seg_code_dut|sel_code_dut                                                                                                                                         ; 26    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; seg_show|sel_seg_code_dut                                                                                                                                                      ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; seg_show|freq_dut                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; seg_show                                                                                                                                                                       ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; key_control                                                                                                                                                                    ; 4     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1|MULT_altfp_mult_9tn_component|man_product2_mult|auto_generated                                                                               ; 49    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1|MULT_altfp_mult_9tn_component|man_round_adder|auto_generated                                                                                 ; 50    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1|MULT_altfp_mult_9tn_component|exp_bias_subtr|auto_generated                                                                                  ; 20    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1|MULT_altfp_mult_9tn_component|exp_adj_adder|auto_generated                                                                                   ; 21    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1|MULT_altfp_mult_9tn_component|exp_add_adder|auto_generated                                                                                   ; 22    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1|MULT_altfp_mult_9tn_component                                                                                                                ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|MULT_Three1                                                                                                                                              ; 65    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_limit_comparator|auto_generated                                                                ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_res_rounding_add_sub_upper1|auto_generated                                                                ; 27    ; 0              ; 13           ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_res_rounding_add_sub_lower|auto_generated                                                                 ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_add_sub_upper1|auto_generated                                                                             ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_add_sub_upper0|auto_generated                                                                             ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_add_sub_lower|auto_generated                                                                              ; 33    ; 0              ; 2            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_2comp_res_upper1|auto_generated                                                                           ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_2comp_res_upper0|auto_generated                                                                           ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|man_2comp_res_lower|auto_generated                                                                            ; 33    ; 0              ; 2            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|add_sub6|auto_generated                                                                                       ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|add_sub5|auto_generated                                                                                       ; 21    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|add_sub4|auto_generated                                                                                       ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|add_sub3|auto_generated                                                                                       ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|add_sub2|auto_generated                                                                                       ; 21    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|add_sub1|auto_generated                                                                                       ; 21    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder34    ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder33    ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32                          ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder28    ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder27    ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Kalman|Kalman_update1|ADD_Three1|ADD_altfp_add_sub_uek_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31                          ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
